Estacao	Data	Hora	Precipitacao	TempMaxima	TempMinima	Insolacao	Evaporacao Piche	Temp Comp Media	Umidade Relativa Media	Velocidade do Vento Media	
83552	01/01/1961	0		31.4		4.5		26.56	78.75	3.333.333	
83552	01/01/1961	1200			24.2						
83552	02/01/1961	0		33.4		7.3		26.48	81.25	1	
83552	02/01/1961	1200	1.6		22.4						
83552	03/01/1961	0		32.7		3.5		27.98	78.25	1	
83552	03/01/1961	1200	7.4		24.2						
83552	04/01/1961	0		34.8		7.8		28.72	66	3	
83552	04/01/1961	1200	5.2		24.6						
83552	05/01/1961	0		33.8		7.9		28.56	69.5	2	
83552	05/01/1961	1200	0.6		25						
83552	06/01/1961	0		33.9		3.9		25.46	77.25	2.666.667	
83552	06/01/1961	1200	0		21.9						
83552	07/01/1961	0		29.9		5.5		25.02	76.5	1	
83552	07/01/1961	1200	8		20.6						
83552	08/01/1961	0		32.8		6.5		27.82	70.75	1.666.667	
83552	08/01/1961	1200	0		22.4						
83552	09/01/1961	0		35.6		11.5		29.62	71.5	1	
83552	09/01/1961	1200	0		25.2						
83552	10/01/1961	0		36.3		10.1		30.3	67.75	2.333.333	
83552	10/01/1961	1200	0		25.6						
83552	11/01/1961	0		35.8		5.4		27.96	81.75	0.666667	
83552	11/01/1961	1200	0		24.3						
83552	12/01/1961	0		38.6		10.5		30.04	73	2	
83552	12/01/1961	1200	12.9		24.8						
83552	13/01/1961	0		36		12.2		29.64	69	1.666.667	
83552	13/01/1961	1200	0		25.7						
83552	14/01/1961	0		32.8		6.1		27.8	77	1	
83552	14/01/1961	1200	0		25						
83552	15/01/1961	0		34.1		7.8		28.46	73	1	
83552	15/01/1961	1200	1		24.6						
83552	16/01/1961	0		35.3		11.8		29.86	65	1.666.667	
83552	16/01/1961	1200	0		25.6						
83552	17/01/1961	0		34.6		8		29.22	67.75	1.666.667	
83552	17/01/1961	1200	0		24.9						
83552	18/01/1961	0		31.8		4.9		27.24	86.75	1.666.667	
83552	18/01/1961	1200	0		24.6						
83552	19/01/1961	0		34.6		10.6		28.68	63	0.666667	
83552	19/01/1961	1200	8.2		24.3						
83552	20/01/1961	0		36		12.4		30.12	61.75	2.333.333	
83552	20/01/1961	1200	0		25.6						
83552	21/01/1961	0		37.9		11		31.26	60.5	0.666667	
83552	21/01/1961	1200	0		25.4						
83552	22/01/1961	0		32.6		2.3		27.72	84	1	
83552	22/01/1961	1200	4		25.4						
83552	23/01/1961	0		32		2.1		26.92	88.5	0.666667	
83552	23/01/1961	1200	1		25						
83552	24/01/1961	0		32.6		3.5		26.6	87.25	1.666.667	
83552	24/01/1961	1200	0.8		24.4						
83552	25/01/1961	0		31.8		4.2		26.08	87.75	1	
83552	25/01/1961	1200	0		23.8						
83552	26/01/1961	0		29.6		2.6		25.16	90.5	0.666667	
83552	26/01/1961	1200	20.2		23.8						
83552	27/01/1961	0		31.4		11.8		25.34	62.5	3.333.333	
83552	27/01/1961	1200	1.6		20.6						
83552	28/01/1961	0		33.4		12.1		26.58	63.25	1.333.333	
83552	28/01/1961	1200	0		21.2						
83552	29/01/1961	0		35		11.8		27.92	63	1.666.667	
83552	29/01/1961	1200	0		22.8						
83552	30/01/1961	0		36.2		9.9		28.42	54.75	2.666.667	
83552	30/01/1961	1200	0		23						
83552	31/01/1961	0		36.3		12.1		30.12	62.5	1	
83552	31/01/1961	1200	0		25.4						
83552	01/02/1961	0		35.1		12		29.48	66.25	2	
83552	01/02/1961	1200	0		25.5						
83552	02/02/1961	0		37.6		11.1		30.92	62.5	0.666667	
83552	02/02/1961	1200	0		25.6						
83552	03/02/1961	0		32.9		4.4		27.06	78.75	2	
83552	03/02/1961	1200	13.8		22						
83552	04/02/1961	0		36		9.9		27.72	74.5	1	
83552	04/02/1961	1200	0		23.6						
83552	05/02/1961	0		34.7		5.5		26.36	74.25	0.333333	
83552	05/02/1961	1200	0		22.6						
83552	06/02/1961	0		34.4		10.2		28.24	71.25	1	
83552	06/02/1961	1200	1		22.9						
83552	07/02/1961	0		35.8		11		28.34	71.5	2.333.333	
83552	07/02/1961	1200	0		25						
83552	08/02/1961	0		35		6.1		26.84	78.5	3	
83552	08/02/1961	1200	0		23.8						
83552	09/02/1961	0		36.4		11.5		28.72	69	3	
83552	09/02/1961	1200	2		23.6						
83552	10/02/1961	0		35.6		6.3		29.12	67.25	1	
83552	10/02/1961	1200	0		24.8						
83552	11/02/1961	0		34.4		3.1		27.36	85.5	1	
83552	11/02/1961	1200	0		25						
83552	12/02/1961	0		30.6		1.8		25.6	83.25	1.666.667	
83552	12/02/1961	1200	2.1		22.4						
83552	13/02/1961	0		34.4		8.4		28.02	65.5	2	
83552	13/02/1961	1200	1.8		23.4						
