--------------------
BDMEP - INMET
--------------------
Estação           : IVINHEMA - MS (OMM: 83704)
Latitude  (graus) : -22.3
Longitude (graus) : -53.81
Altitude  (metros): 369.20
Estação Operante
Inicio de operação: 25/07/1966
Periodo solicitado dos dados: 30/03/1700 a 12/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83704;01/09/1966;0000;;29;;0;;15.26;91.75;6;
83704;01/09/1966;1200;;;9.7;;;;;;
83704;02/09/1966;0000;;11;;0;;9.62;88.5;0.666667;
83704;02/09/1966;1200;6.5;;8.1;;;;;;
83704;03/09/1966;0000;;13.8;;0;;10.5;91;2;
83704;03/09/1966;1200;19.1;;8.9;;;;;;
83704;04/09/1966;0000;;18.5;;0;;15.26;92.25;1.333333;
83704;04/09/1966;1200;2.3;;10;;;;;;
83704;05/09/1966;0000;;29.6;;10.9;;21.6;69;6;
83704;05/09/1966;1200;0;;13.8;;;;;;
83704;06/09/1966;0000;;31.6;;6.7;;24.28;59.75;4.333333;
83704;06/09/1966;1200;0;;18.3;;;;;;
83704;07/09/1966;0000;;;;9.2;;;;6;
83704;07/09/1966;1200;0;;;;;;;;
83704;08/09/1966;0000;;;;7.2;;;;3;
83704;08/09/1966;1200;0;;;;;;;;
83704;09/09/1966;0000;;;;5.9;;;;1;
83704;09/09/1966;1200;0;;;;;;;;
83704;10/09/1966;0000;;;;8.2;;;;7;
83704;10/09/1966;1200;0;;;;;;;;
83704;11/09/1966;0000;;;;6.7;;;;3.5;
83704;11/09/1966;1200;0;;;;;;;;
83704;12/09/1966;0000;;;;7.3;;;;4;
83704;12/09/1966;1200;0;;;;;;;;
83704;13/09/1966;0000;;;;8.4;;;;1;
83704;13/09/1966;1200;0;;;;;;;;
83704;14/09/1966;0000;;;;7.7;;;;3.5;
83704;14/09/1966;1200;0;;;;;;;;
83704;15/09/1966;0000;;35.6;;5.6;;25.2;60;3.666667;
83704;15/09/1966;1200;0;;20;;;;;;
83704;16/09/1966;0000;;;;0;;;;7;
83704;16/09/1966;1200;1;;;;;;;;
83704;17/09/1966;0000;;24.2;;1.3;;17.08;48.75;5.666667;
83704;17/09/1966;1200;7.8;;12.2;;;;;;
83704;18/09/1966;0000;;25.3;;10.6;;17.04;52.25;5;
83704;18/09/1966;1200;0;;11.3;;;;;;
83704;19/09/1966;0000;;17.8;;0.6;;14.44;74.5;5.666667;
83704;19/09/1966;1200;0;;13;;;;;;
83704;20/09/1966;0000;;22.9;;4.2;;16.22;73.5;4.666667;
83704;20/09/1966;1200;0.8;;11.6;;;;;;
83704;21/09/1966;0000;;22.7;;10.3;;15.38;50;6;
83704;21/09/1966;1200;0;;9.6;;;;;;
83704;22/09/1966;0000;;23.7;;11;;15.86;43;5;
83704;22/09/1966;1200;0;;7.2;;;;;;
83704;23/09/1966;0000;;24.7;;10.9;;15.86;52.25;6;
83704;23/09/1966;1200;0;;9.2;;;;;;
83704;24/09/1966;0000;;26.8;;10.7;;17.88;44.5;6;
83704;24/09/1966;1200;0;;10.4;;;;;;
83704;25/09/1966;0000;;32.4;;10.4;;21.02;54.25;5;
83704;25/09/1966;1200;0;;10.3;;;;;;
83704;26/09/1966;0000;;35.3;;8.4;;23.62;49;3;
83704;26/09/1966;1200;0;;13;;;;;;
83704;27/09/1966;0000;;25.9;;0;;18.94;82;6.666667;
83704;27/09/1966;1200;0;;16;;;;;;
83704;28/09/1966;0000;;23.8;;4.5;;18.88;80.25;7;
83704;28/09/1966;1200;5.5;;15.6;;;;;;
83704;29/09/1966;0000;;27.2;;6.2;;19.24;77;4.333333;
83704;29/09/1966;1200;0;;13.6;;;;;;
83704;30/09/1966;0000;;34.7;;10.8;;25.06;60;4.333333;
83704;30/09/1966;1200;0;;15.6;;;;;;
83704;01/10/1966;0000;;35.8;;10.3;;27.72;59;3;
83704;01/10/1966;1200;0;;19.6;;;;;;
83704;02/10/1966;0000;;36;;10.1;;27.74;60.25;2.666667;
83704;02/10/1966;1200;0;;20.5;;;;;;
83704;03/10/1966;0000;;36.3;;6.3;;28.2;62.75;5;
83704;03/10/1966;1200;0;;20.5;;;;;;
83704;04/10/1966;0000;;31.7;;8.3;;24.94;74.5;3.666667;
83704;04/10/1966;1200;34;;18.8;;;;;;
83704;05/10/1966;0000;;28.3;;6.7;;22.06;72;5;
83704;05/10/1966;1200;0;;18.6;;;;;;
83704;06/10/1966;0000;;32.7;;9.7;;24.94;69;4;
83704;06/10/1966;1200;0;;19.2;;;;;;
83704;07/10/1966;0000;;32.5;;7;;24.56;78;4;
83704;07/10/1966;1200;0;;21.2;;;;;;
83704;08/10/1966;0000;;25.5;;1.3;;21.62;89.25;5;
83704;08/10/1966;1200;0;;19.4;;;;;;
83704;09/10/1966;0000;;25.6;;3.9;;20.7;89;3.666667;
83704;09/10/1966;1200;20.7;;18.4;;;;;;
83704;10/10/1966;0000;;31;;9.8;;23.36;70.75;4.666667;
83704;10/10/1966;1200;0;;15.6;;;;;;
83704;11/10/1966;0000;;34.5;;11.4;;26.58;62.25;3.666667;
83704;11/10/1966;1200;0;;19.6;;;;;;
83704;12/10/1966;0000;;26.5;;1.6;;20.84;95.75;2.333333;
83704;12/10/1966;1200;21;;18.9;;;;;;
83704;13/10/1966;0000;;29.4;;10.4;;23.28;79.25;3;
83704;13/10/1966;1200;5.7;;17.4;;;;;;
83704;14/10/1966;0000;;33.3;;9.8;;26.32;71.75;2;
83704;14/10/1966;1200;0;;19.3;;;;;;
83704;15/10/1966;0000;;35.4;;10.4;;27.8;62.75;2.666667;
83704;15/10/1966;1200;1.3;;20;;;;;;
83704;16/10/1966;0000;;28;;0.7;;23.46;79.75;2.666667;
83704;16/10/1966;1200;0;;21.6;;;;;;
83704;17/10/1966;0000;;31.8;;8.4;;24.96;69.75;3.333333;
83704;17/10/1966;1200;0;;19.4;;;;;;
83704;18/10/1966;0000;;26.9;;0.2;;22.74;88.25;2;
83704;18/10/1966;1200;0;;19.8;;;;;;
83704;19/10/1966;0000;;27.6;;11.1;;21.28;58;5.333333;
83704;19/10/1966;1200;14.7;;17.8;;;;;;
83704;20/10/1966;0000;;30.3;;11.6;;21.46;55.5;4.333333;
83704;20/10/1966;1200;0;;12.8;;;;;;
83704;21/10/1966;0000;;29.4;;9.1;;23.16;70.75;7;
83704;21/10/1966;1200;0;;18.6;;;;;;
83704;22/10/1966;0000;;27.4;;2.9;;20.04;82.75;5.666667;
83704;22/10/1966;1200;0;;16.4;;;;;;
83704;23/10/1966;0000;;24.8;;8.8;;18.98;72.75;4.333333;
83704;23/10/1966;1200;59.2;;15.9;;;;;;
83704;24/10/1966;0000;;28;;11.6;;19.68;65.25;2;
83704;24/10/1966;1200;0;;10.8;;;;;;
83704;25/10/1966;0000;;31.7;;11.8;;22.68;52.75;3.333333;
83704;25/10/1966;1200;0;;12.5;;;;;;
83704;26/10/1966;0000;;33.6;;10.8;;26.58;73.5;7.333333;
83704;26/10/1966;1200;0;;19.2;;;;;;
83704;27/10/1966;0000;;27.2;;1.2;;23.02;89.25;6.333333;
83704;27/10/1966;1200;1.3;;20.5;;;;;;
83704;28/10/1966;0000;;21;;1;;19.52;95;2.333333;
83704;28/10/1966;1200;16.9;;17.2;;;;;;
83704;29/10/1966;0000;;24.5;;0.2;;20.52;91.5;5.666667;
83704;29/10/1966;1200;2.5;;18.9;;;;;;
83704;30/10/1966;0000;;19.3;;1;;17.26;95.75;5.666667;
83704;30/10/1966;1200;7.1;;16;;;;;;
83704;31/10/1966;0000;;22;;0;;19.9;90.25;3;
83704;31/10/1966;1200;15.2;;16;;;;;;
83704;01/11/1966;0000;;26;;4.4;;21.28;87;2.333333;
83704;01/11/1966;1200;0;;18.2;;;;;;
83704;02/11/1966;0000;;26.4;;0;;22.2;84;4;
83704;02/11/1966;1200;0;;18;;;;;;
83704;03/11/1966;0000;;30.9;;10.3;;23.56;68.75;4.333333;
83704;03/11/1966;1200;0;;18.5;;;;;;
83704;04/11/1966;0000;;30.4;;11.5;;23.1;66;3.333333;
83704;04/11/1966;1200;0;;17.3;;;;;;
83704;05/11/1966;0000;;32.8;;11.9;;25.28;64;5.666667;
83704;05/11/1966;1200;0;;18.8;;;;;;
83704;06/11/1966;0000;;33.3;;10.3;;25.58;73.75;3.333333;
83704;06/11/1966;1200;0;;19.8;;;;;;
83704;07/11/1966;0000;;33.5;;6.6;;26.12;65.25;5.333333;
83704;07/11/1966;1200;0;;19.6;;;;;;
83704;08/11/1966;0000;;35.1;;9.5;;27.24;67.25;3;
83704;08/11/1966;1200;0;;19.7;;;;;;
83704;09/11/1966;0000;;35.1;;8.4;;26.38;71;5.333333;
83704;09/11/1966;1200;0;;20.6;;;;;;
83704;10/11/1966;0000;;32.3;;5.1;;25.66;75.75;3.333333;
83704;10/11/1966;1200;0;;20.4;;;;;;
83704;11/11/1966;0000;;33.5;;9.9;;26.74;71.75;5.666667;
83704;11/11/1966;1200;0;;20.6;;;;;;
83704;12/11/1966;0000;;26.5;;0;;21.36;95.5;5.666667;
83704;12/11/1966;1200;40.2;;19.9;;;;;;
83704;13/11/1966;0000;;26.6;;1.9;;22.32;88.25;3.333333;
83704;13/11/1966;1200;23.4;;19.6;;;;;;
83704;14/11/1966;0000;;28.7;;5.4;;22.72;82.75;2.666667;
83704;14/11/1966;1200;0;;19.2;;;;;;
83704;15/11/1966;0000;;30.1;;4.3;;24.74;85.75;4.333333;
83704;15/11/1966;1200;0;;20.8;;;;;;
83704;16/11/1966;0000;;26;;1.1;;21.4;85.25;2.666667;
83704;16/11/1966;1200;1.8;;19.6;;;;;;
83704;17/11/1966;0000;;28;;12;;21;74;5.666667;
83704;17/11/1966;1200;0;;16.2;;;;;;
83704;18/11/1966;0000;;29.8;;11.8;;22.66;50.5;3.666667;
83704;18/11/1966;1200;0;;15.7;;;;;;
83704;19/11/1966;0000;;31.6;;12.3;;23.94;59;4.333333;
83704;19/11/1966;1200;0;;14.8;;;;;;
83704;20/11/1966;0000;;31.9;;12.3;;23.92;55.25;4.666667;
83704;20/11/1966;1200;0;;17.2;;;;;;
83704;21/11/1966;0000;;32.3;;11.9;;24.58;52.5;4.666667;
83704;21/11/1966;1200;0;;17;;;;;;
83704;22/11/1966;0000;;32.5;;11.8;;24.66;61.25;5.666667;
83704;22/11/1966;1200;0;;18;;;;;;
83704;23/11/1966;0000;;30.5;;12.1;;22.94;58;5.333333;
83704;23/11/1966;1200;0;;18.2;;;;;;
83704;24/11/1966;0000;;31.4;;11.8;;23.44;50.5;4;
83704;24/11/1966;1200;0;;16;;;;;;
83704;25/11/1966;0000;;33.2;;11.3;;25.1;48.75;3.666667;
83704;25/11/1966;1200;0;;15;;;;;;
83704;26/11/1966;0000;;34.2;;10;;26.6;57.25;3.333333;
83704;26/11/1966;1200;0;;19.6;;;;;;
83704;27/11/1966;0000;;34.5;;8.4;;25.38;69.25;4;
83704;27/11/1966;1200;0;;19;;;;;;
83704;28/11/1966;0000;;34.1;;11.4;;26.38;65;3;
83704;28/11/1966;1200;0.2;;18.8;;;;;;
83704;29/11/1966;0000;;34.1;;11.4;;26.84;63.75;4.333333;
83704;29/11/1966;1200;0;;20.1;;;;;;
83704;30/11/1966;0000;;36.8;;10.1;;28.94;60;6;
83704;30/11/1966;1200;0;;22.1;;;;;;
83704;01/12/1966;0000;;36.5;;6.6;;27.42;62.75;4.333333;
83704;01/12/1966;1200;0;;21.6;;;;;;
83704;02/12/1966;0000;;34.1;;5.4;;25.28;85.25;4.333333;
83704;02/12/1966;1200;2;;21.7;;;;;;
83704;03/12/1966;0000;;34.7;;11.2;;29.06;65.75;5.666667;
83704;03/12/1966;1200;4.4;;21.4;;;;;;
83704;04/12/1966;0000;;35.9;;12.4;;29.02;61.75;6.666667;
83704;04/12/1966;1200;0.8;;22.6;;;;;;
83704;05/12/1966;0000;;28.3;;1.7;;22.9;82.75;4;
83704;05/12/1966;1200;0.2;;20.6;;;;;;
83704;06/12/1966;0000;;34.1;;9.1;;26.74;71.5;3.333333;
83704;06/12/1966;1200;0;;20;;;;;;
83704;07/12/1966;0000;;36.7;;7.5;;27.62;70.5;3;
83704;07/12/1966;1200;0;;22.4;;;;;;
83704;08/12/1966;0000;;36.3;;11.3;;28.46;64.5;1.666667;
83704;08/12/1966;1200;1.9;;19.8;;;;;;
83704;09/12/1966;0000;;36.3;;8.8;;26.9;75.25;4.666667;
83704;09/12/1966;1200;0;;21.6;;;;;;
83704;10/12/1966;0000;;36;;9.9;;28.42;51.5;5;
83704;10/12/1966;1200;6.3;;22.4;;;;;;
83704;11/12/1966;0000;;36.8;;10.5;;29.02;62.75;3.666667;
83704;11/12/1966;1200;0;;22.6;;;;;;
83704;12/12/1966;0000;;37.1;;12;;29.88;62;5;
83704;12/12/1966;1200;0;;23.3;;;;;;
83704;13/12/1966;0000;;36.1;;7.1;;28.06;73.75;2.666667;
83704;13/12/1966;1200;0;;24.2;;;;;;
83704;14/12/1966;0000;;36.1;;10.4;;27.54;80;3.333333;
83704;14/12/1966;1200;0;;23.4;;;;;;
83704;15/12/1966;0000;;32.8;;3.3;;27.18;82;5.333333;
83704;15/12/1966;1200;0;;22.5;;;;;;
83704;16/12/1966;0000;;32.6;;4.6;;25.72;84.75;5.333333;
83704;16/12/1966;1200;1.9;;22;;;;;;
83704;17/12/1966;0000;;31.9;;2.1;;25.46;86.5;3;
83704;17/12/1966;1200;1.6;;22.6;;;;;;
83704;18/12/1966;0000;;30.1;;2.5;;24.42;94.5;4.666667;
83704;18/12/1966;1200;13.3;;22;;;;;;
83704;19/12/1966;0000;;26.5;;0.1;;22.92;93.25;3.666667;
83704;19/12/1966;1200;34.9;;20.6;;;;;;
83704;20/12/1966;0000;;28.4;;1.1;;23.98;86.5;2.666667;
83704;20/12/1966;1200;5.2;;21.7;;;;;;
83704;21/12/1966;0000;;28.8;;3.9;;24.3;80.75;4;
83704;21/12/1966;1200;0.3;;20.6;;;;;;
83704;22/12/1966;0000;;29.9;;12.2;;23.98;69;4.333333;
83704;22/12/1966;1200;0.3;;20;;;;;;
83704;23/12/1966;0000;;30.4;;11.7;;24.04;61.75;6;
83704;23/12/1966;1200;0;;18.6;;;;;;
83704;24/12/1966;0000;;28.9;;7.4;;23.2;69.5;5;
83704;24/12/1966;1200;0;;17.8;;;;;;
