--------------------
BDMEP - INMET
--------------------
Estação           : NHUMIRIM  NHECOLANDIA  - MS (OMM: 83513)
Latitude  (graus) : -18.98
Longitude (graus) : -56.62
Altitude  (metros): 89.00
Estação Operante
Inicio de operação: 01/07/1984
Periodo solicitado dos dados: 30/03/1700 a 12/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83513;01/01/1993;0000;;33.9;;9.9;;28.86;81;1.666667;
83513;01/01/1993;1200;;;27.3;;;;;;
83513;02/01/1993;0000;;35.9;;9.9;;29.84;74.25;4;
83513;02/01/1993;1200;10.2;;27.4;;;;;;
83513;03/01/1993;0000;;;;10.6;;;;;
83513;04/01/1993;0000;;;;10.8;;;;;
83513;05/01/1993;0000;;;;11.1;;;;1;
83513;06/01/1993;0000;;39.9;;11;;29.06;78.25;1.333333;
83513;06/01/1993;1200;;;21.9;;;;;;
83513;07/01/1993;0000;;30.5;;2.3;;27.3;88;0.666667;
83513;07/01/1993;1200;0;;25.1;;;;;;
83513;08/01/1993;0000;;32.1;;6.3;;26.96;89.75;1.333333;
83513;08/01/1993;1200;32.5;;21.9;;;;;;
83513;09/01/1993;0000;;26.9;;0.7;;24.24;95.5;1.333333;
83513;09/01/1993;1200;13.8;;21.7;;;;;;
83513;10/01/1993;0000;;29.9;;6.3;;25.16;89.25;0.666667;
83513;10/01/1993;1200;7.6;;22.1;;;;;;
83513;11/01/1993;0000;;32.5;;10.2;;26.2;85;1.333333;
83513;11/01/1993;1200;0.6;;20.9;;;;;;
83513;12/01/1993;0000;;31.1;;0;;25.76;93.25;1.666667;
83513;12/01/1993;1200;0;;23.1;;;;;;
83513;13/01/1993;0000;;31.1;;3.7;;25.92;87.5;1;
83513;13/01/1993;1200;10.4;;22.1;;;;;;
83513;14/01/1993;0000;;34.1;;5.4;;27.88;84.5;0;
83513;14/01/1993;1200;0;;22.3;;;;;;
83513;15/01/1993;0000;;31.9;;7;;28.58;86;0.666667;
83513;15/01/1993;1200;0;;26.6;;;;;;
83513;16/01/1993;0000;;35.5;;11.4;;28.9;83.5;0;
83513;16/01/1993;1200;0;;22.9;;;;;;
83513;17/01/1993;0000;;35.1;;6.5;;29.32;85.75;2;
83513;17/01/1993;1200;0;;24.4;;;;;;
83513;18/01/1993;0000;;32.1;;0.3;;25.56;91.25;0.666667;
83513;18/01/1993;1200;0.8;;22.7;;;;;;
83513;19/01/1993;0000;;27.9;;2.8;;24.96;92.5;1.333333;
83513;19/01/1993;1200;5;;23.1;;;;;;
83513;20/01/1993;0000;;31.3;;2;;27.2;85.5;1;
83513;20/01/1993;1200;10.1;;22.3;;;;;;
83513;21/01/1993;0000;;32.3;;5.3;;27.16;88.75;1;
83513;21/01/1993;1200;0;;21.9;;;;;;
83513;22/01/1993;0000;;33.5;;6.3;;27.52;91.25;1.666667;
83513;22/01/1993;1200;0.5;;24.9;;;;;;
83513;23/01/1993;0000;;33.9;;11.6;;28.52;85.25;1.333333;
83513;23/01/1993;1200;0;;23.5;;;;;;
83513;24/01/1993;0000;;29.5;;0.8;;25.68;93.75;1;
