Estacao	Data	Hora	Precipitacao	TempMaxima	TempMinima	Insolacao	Evaporacao Piche	Temp Comp Media	Umidade Relativa Media	Velocidade do Vento Media
83565	08/07/1971	0	sv	27.8	sv	sv	sv	19.12	80.25	1
83565	08/07/1971	1200	sv	sv	12	sv	sv	sv	sv	sv
83565	09/07/1971	0	sv	28.4	sv	0	5	20.9	78.75	1
83565	09/07/1971	1200	0	sv	14.5	sv	sv	sv	sv	sv
83565	10/07/1971	0	sv	28.5	sv	0	3	21.38	69	0.333333
83565	10/07/1971	1200	0	sv	15.9	sv	sv	sv	sv	sv
83565	11/07/1971	0	sv	28.9	sv	sv	5.1	21.58	68	1.666.667
83565	11/07/1971	1200	0	sv	15.2	sv	sv	sv	sv	sv
83565	12/07/1971	0	sv	27.8	sv	0	3.8	20.26	72.5	1
83565	12/07/1971	1200	0	sv	13.5	sv	sv	sv	sv	sv
83565	13/07/1971	0	sv	27.9	sv	0	5.6	20.16	70.75	1.666.667
83565	13/07/1971	1200	0	sv	14.8	sv	sv	sv	sv	sv
83565	14/07/1971	0	sv	27.9	sv	0	5.8	19.48	73.25	1
83565	14/07/1971	1200	0	sv	12.8	sv	sv	sv	sv	sv
83565	15/07/1971	0	sv	27.7	sv	0	5.9	18.9	66.75	1
83565	15/07/1971	1200	0	sv	11.9	sv	sv	sv	sv	sv
83565	16/07/1971	0	sv	27.8	sv	0	6.9	18.94	69	1.666.667
83565	16/07/1971	1200	0	sv	10.1	sv	sv	sv	sv	sv
83565	17/07/1971	0	sv	29	sv	10.2	6.7	19.78	71.25	0.666667
83565	17/07/1971	1200	0	sv	11.7	sv	sv	sv	sv	sv
83565	18/07/1971	0	sv	29	sv	10.4	5.4	20.2	72	0.333333
83565	18/07/1971	1200	0	sv	14	sv	sv	sv	sv	sv
83565	19/07/1971	0	sv	28.6	sv	10.3	6.8	19.48	72.25	1
83565	19/07/1971	1200	0	sv	12.2	sv	sv	sv	sv	sv
83565	20/07/1971	0	sv	28.8	sv	8	5.8	19.66	70.25	1
83565	20/07/1971	1200	0	sv	12.5	sv	sv	sv	sv	sv
83565	21/07/1971	0	sv	29.3	sv	9.7	5.2	19.66	71	0.666667
83565	21/07/1971	1200	0	sv	11.5	sv	sv	sv	sv	sv
83565	22/07/1971	0	sv	29.7	sv	10.5	6.1	20.5	63.75	1
83565	22/07/1971	1200	0	sv	11.5	sv	sv	sv	sv	sv
83565	23/07/1971	0	sv	29.2	sv	10.5	6.3	19.74	66.75	1
83565	23/07/1971	1200	0	sv	11.5	sv	sv	sv	sv	sv
83565	24/07/1971	0	sv	30.2	sv	10.4	6	19.62	65.75	1
83565	24/07/1971	1200	0	sv	9.7	sv	sv	sv	sv	sv
83565	25/07/1971	0	sv	31	sv	10.3	6.3	20.04	67	1.333.333
83565	25/07/1971	1200	0	sv	10.2	sv	sv	sv	sv	sv
83565	26/07/1971	0	sv	32.8	sv	9.6	6.7	20.24	67.25	1
83565	26/07/1971	1200	0	sv	12.7	sv	sv	sv	sv	sv
83565	27/07/1971	0	sv	27.7	sv	7.5	7.3	19.74	79.5	2.666.667
83565	27/07/1971	1200	0	sv	14	sv	sv	sv	sv	sv
83565	28/07/1971	0	sv	30.3	sv	6.7	4.4	21.24	76	0.666667
83565	28/07/1971	1200	0	sv	14	sv	sv	sv	sv	sv
83565	29/07/1971	0	sv	31.2	sv	7.6	4.3	21.2	72.75	2
83565	29/07/1971	1200	0	sv	14.7	sv	sv	sv	sv	sv
83565	30/07/1971	0	sv	25.1	sv	3	6	19.66	86	2.333.333
83565	30/07/1971	1200	1.6	sv	16.5	sv	sv	sv	sv	sv
83565	31/07/1971	0	sv	27.9	sv	5.7	2.2	21.26	79.75	0.666667
83565	31/07/1971	1200	0	sv	17	sv	sv	sv	sv	sv
83565	01/08/1971	0	sv	30	sv	8.4	3.5	22.1	73.25	1
83565	01/08/1971	1200	0	sv	16.7	sv	sv	sv	sv	sv
83565	02/08/1971	0	sv	30.7	sv	9.7	4.8	22.16	71.5	0.333333
83565	02/08/1971	1200	4.4	sv	16.2	sv	sv	sv	sv	sv
83565	03/08/1971	0	sv	33.4	sv	10.1	5.6	23.16	67.5	1
83565	03/08/1971	1200	0	sv	15.4	sv	sv	sv	sv	sv
83565	04/08/1971	0	sv	34.2	sv	10.3	6.8	24.44	66.25	0.666667
83565	04/08/1971	1200	0	sv	17	sv	sv	sv	sv	sv
83565	05/08/1971	0	sv	32.9	sv	4.7	6.8	24.72	70.5	1.666.667
83565	05/08/1971	1200	0	sv	17.8	sv	sv	sv	sv	sv
83565	06/08/1971	0	sv	34	sv	9.8	5.1	24.68	63	1.333.333
83565	06/08/1971	1200	0	sv	16.8	sv	sv	sv	sv	sv
83565	07/08/1971	0	sv	33.9	sv	9.5	7.6	23.62	66.25	0.666667
83565	07/08/1971	1200	0	sv	16.4	sv	sv	sv	sv	sv
83565	08/08/1971	0	sv	33.4	sv	10.3	7.3	24.64	59.25	0.333333
83565	08/08/1971	1200	0	sv	16.8	sv	sv	sv	sv	sv
83565	09/08/1971	0	sv	34	sv	10	7.6	23.66	60.75	1.333.333
83565	09/08/1971	1200	0	sv	14	sv	sv	sv	sv	sv
83565	10/08/1971	0	sv	32.4	sv	10.1	8.4	23.62	70.5	0
83565	10/08/1971	1200	0	sv	15.2	sv	sv	sv	sv	sv
83565	11/08/1971	0	sv	33.5	sv	8.6	5.7	23.82	69.75	0.666667
83565	11/08/1971	1200	0	sv	17.2	sv	sv	sv	sv	sv
83565	12/08/1971	0	sv	34.3	sv	10.3	6.4	24.56	54.5	2
83565	12/08/1971	1200	0	sv	16.5	sv	sv	sv	sv	sv
83565	13/08/1971	0	sv	34.4	sv	9.7	10.9	23.6	67	3.666.667
83565	13/08/1971	1200	0	sv	16.2	sv	sv	sv	sv	sv
83565	14/08/1971	0	sv	23.3	sv	4.4	9.1	14.86	80.5	3
83565	14/08/1971	1200	0	sv	11.5	sv	sv	sv	sv	sv
83565	15/08/1971	0	sv	24.5	sv	10.9	3.4	14.58	73.5	2.333.333
83565	15/08/1971	1200	0	sv	6.4	sv	sv	sv	sv	sv
83565	16/08/1971	0	sv	27.3	sv	11.1	5.1	17.12	69	1
83565	16/08/1971	1200	0	sv	8.9	sv	sv	sv	sv	sv
83565	17/08/1971	0	sv	29	sv	11	7.1	18.5	69	1.666.667
83565	17/08/1971	1200	0	sv	9.3	sv	sv	sv	sv	sv
83565	18/08/1971	0	sv	32.7	sv	10.6	8.6	21.56	59.25	1.333.333
83565	18/08/1971	1200	0	sv	10.4	sv	sv	sv	sv	sv
83565	19/08/1971	0	sv	33.2	sv	10.4	8.6	23.34	60.5	2.333.333
83565	19/08/1971	1200	0	sv	15.4	sv	sv	sv	sv	sv
83565	20/08/1971	0	sv	31.4	sv	10.9	11.3	22.56	60.75	2
83565	20/08/1971	1200	0	sv	14	sv	sv	sv	sv	sv
83565	21/08/1971	0	sv	32.4	sv	10.7	10.9	22.26	56.5	2.333.333
83565	21/08/1971	1200	0	sv	11.8	sv	sv	sv	sv	sv
83565	22/08/1971	0	sv	33	sv	10.7	10.6	23.16	64.75	1
83565	22/08/1971	1200	0	sv	12.9	sv	sv	sv	sv	sv
83565	23/08/1971	0	sv	32.1	sv	10	9.2	23.14	57.5	0.333333
83565	23/08/1971	1200	0	sv	14.3	sv	sv	sv	sv	sv
83565	24/08/1971	0	sv	32	sv	9.5	10	22.1	60.75	1.333.333
83565	24/08/1971	1200	0	sv	14.6	sv	sv	sv	sv	sv
83565	25/08/1971	0	sv	30.3	sv	6.1	10.4	21.66	66	3
83565	25/08/1971	1200	0	sv	14.5	sv	sv	sv	sv	sv
83565	26/08/1971	0	sv	29.6	sv	9.3	10.2	21.28	59.75	3.333.333
83565	26/08/1971	1200	0	sv	15	sv	sv	sv	sv	sv
83565	27/08/1971	0	sv	30	sv	10.8	11	21.14	64.75	1.666.667
83565	27/08/1971	1200	0	sv	13.8	sv	sv	sv	sv	sv
83565	28/08/1971	0	sv	30.6	sv	10.4	10.3	21.18	63.5	1
83565	28/08/1971	1200	0	sv	12.9	sv	sv	sv	sv	sv
83565	29/08/1971	0	sv	31	sv	10.6	11.1	21.76	65	1.333.333
83565	29/08/1971	1200	0	sv	13.7	sv	sv	sv	sv	sv
83565	30/08/1971	0	sv	30.8	sv	10.5	11.4	22.02	64	1.333.333
83565	30/08/1971	1200	0	sv	15	sv	sv	sv	sv	sv
83565	31/08/1971	0	sv	31.5	sv	10.7	10.2	22	68.5	0.666667
83565	31/08/1971	1200	0	sv	14	sv	sv	sv	sv	sv
