--------------------
BDMEP - INMET
--------------------
Estação           : PONTA PORA - MS (OMM: 83702)
Latitude  (graus) : -22.55
Longitude (graus) : -55.71
Altitude  (metros): 650.00
Estação Operante
Inicio de operação: 24/11/1941
Periodo solicitado dos dados: 30/03/1700 a 12/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83702;01/01/1961;0000;;27.4;;;1;21.96;88.25;2.333333;
83702;01/01/1961;1200;;;20;;;;;;
83702;02/01/1961;0000;;29;;;0.6;23.56;82.5;2.666667;
83702;02/01/1961;1200;54.9;;18.6;;;;;;
83702;03/01/1961;0000;;32.4;;;1.4;25.4;75.25;2.333333;
83702;03/01/1961;1200;0;;19;;;;;;
83702;04/01/1961;0000;;32.4;;;1.4;24.52;77.75;1.666667;
83702;04/01/1961;1200;1.6;;19.4;;;;;;
83702;05/01/1961;0000;;30.6;;;2.2;24.96;78.25;3;
83702;05/01/1961;1200;0.8;;20.2;;;;;;
83702;06/01/1961;0000;;24.8;;;3.2;19.8;86.25;2.333333;
83702;06/01/1961;1200;25.8;;16.8;;;;;;
83702;07/01/1961;0000;;27.4;;;1;22.2;80.25;2.333333;
83702;07/01/1961;1200;0.6;;17.8;;;;;;
83702;08/01/1961;0000;;26.2;;;2;22.68;88.25;2;
83702;08/01/1961;1200;3.8;;19.4;;;;;;
83702;09/01/1961;0000;;33;;;1;25.64;76.25;1.666667;
83702;09/01/1961;1200;7;;20;;;;;;
83702;10/01/1961;0000;;32;;;2.3;24.48;80.5;2.666667;
83702;10/01/1961;1200;0;;21;;;;;;
83702;11/01/1961;0000;;30.4;;;2.4;24.28;76;2;
83702;11/01/1961;1200;0.3;;18.6;;;;;;
83702;12/01/1961;0000;;31;;;3.3;25.28;75.5;3.333333;
83702;12/01/1961;1200;0;;20.8;;;;;;
83702;13/01/1961;0000;;31.6;;;4.8;25.4;73.25;2.666667;
83702;13/01/1961;1200;0;;19.4;;;;;;
83702;14/01/1961;0000;;30.4;;;4.7;25.08;75.5;3;
83702;14/01/1961;1200;0;;20.8;;;;;;
83702;15/01/1961;0000;;32.2;;;3.8;25.96;73.75;2.666667;
83702;15/01/1961;1200;0;;20.8;;;;;;
83702;16/01/1961;0000;;32.2;;;3.7;26.2;72.5;3;
83702;16/01/1961;1200;0;;20.4;;;;;;
83702;17/01/1961;0000;;32.4;;;4.1;25.44;76.25;3.333333;
83702;17/01/1961;1200;0;;20.2;;;;;;
83702;18/01/1961;0000;;30.8;;;3;23.56;80.25;2.333333;
83702;18/01/1961;1200;0;;20.8;;;;;;
83702;19/01/1961;0000;;31;;;2;23.72;79.25;2;
83702;19/01/1961;1200;2.3;;19.8;;;;;;
83702;20/01/1961;0000;;32.4;;;1.6;26.16;72;2.333333;
83702;20/01/1961;1200;13.3;;19.8;;;;;;
83702;21/01/1961;0000;;33.6;;;3.9;26.76;72.75;3.333333;
83702;21/01/1961;1200;0;;22;;;;;;
83702;22/01/1961;0000;;31.8;;;3.4;26.16;80;1.666667;
83702;22/01/1961;1200;0;;22;;;;;;
83702;23/01/1961;0000;;28;;;1.6;24.24;84.25;2.666667;
83702;23/01/1961;1200;4.3;;21.4;;;;;;
83702;24/01/1961;0000;;31;;;1.3;25.2;79.5;2.333333;
83702;24/01/1961;1200;7.3;;21;;;;;;
83702;25/01/1961;0000;;30.4;;;2.1;24.64;76.25;1.666667;
83702;25/01/1961;1200;0;;21;;;;;;
83702;26/01/1961;0000;;29.6;;;1.7;22.32;76.25;2.666667;
83702;26/01/1961;1200;1.6;;18.6;;;;;;
83702;27/01/1961;0000;;27.2;;;2.4;19.28;84.5;2.666667;
83702;27/01/1961;1200;0;;16.6;;;;;;
