Estacao	Data	Hora	TempBulboSeco	TempBulboUmido	UmidadeRelativa	PressaoAtmEstacao	DirecaoVento	VelocidadeVento	Nebulosidade
83513	01/01/1993	1200	28.3	25.5	79	sv	0	0	0
83513	01/01/1993	1800	33.5	28.1	65	sv	9	5	4
83513	02/01/1993	0	27.4	26.1	90	sv	0	0	10
83513	02/01/1993	1200	29.5	26.3	77	sv	14	5	5
83513	02/01/1993	1800	34.1	26.3	52	sv	9	7	3
83513	03/01/1993	0	28.2	26.1	84	sv	0	0	5
83513	06/01/1993	0	28.5	26.1	82	sv	36	1	2
83513	06/01/1993	1200	29.1	26.1	78	sv	27	1	2
83513	06/01/1993	1800	34.3	29.1	67	sv	32	2	4
83513	07/01/1993	0	27.2	25.1	84	sv	36	1	4
83513	07/01/1993	1200	28.5	26.3	83	sv	36	2	4
83513	07/01/1993	1800	28	25.5	81	sv	0	0	8
83513	08/01/1993	0	26.2	25.5	94	sv	0	0	0
83513	08/01/1993	1200	27.2	25.9	90	sv	36	2	10
83513	08/01/1993	1800	30.1	26.9	77	sv	36	2	8
83513	09/01/1993	0	26.8	26.3	96	sv	0	0	10
83513	09/01/1993	1200	25.4	24.7	94	sv	36	2	10
83513	09/01/1993	1800	24.2	23.7	96	sv	27	2	10
83513	10/01/1993	0	23.6	23.1	96	sv	0	0	10
83513	10/01/1993	1200	25	24.1	92	sv	27	1	10
83513	10/01/1993	1800	28.7	26.1	81	sv	27	1	8
83513	11/01/1993	0	24.4	23.5	92	sv	0	0	0
83513	11/01/1993	1200	26.8	25.1	87	sv	36	1	6
83513	11/01/1993	1800	31.5	27.3	71	sv	36	1	6
83513	12/01/1993	0	25.4	24.3	91	sv	36	2	2
83513	12/01/1993	1200	25	24.1	92	sv	36	3	10
83513	12/01/1993	1800	26.2	25.3	93	sv	0	0	10
83513	13/01/1993	0	24.8	24.1	94	sv	9	2	6
83513	13/01/1993	1200	23.2	22.7	96	sv	36	1	10
83513	13/01/1993	1800	28.9	25.1	72	sv	36	2	8
83513	14/01/1993	0	26.6	25.5	91	sv	0	0	0
83513	14/01/1993	1200	26.6	25.1	88	sv	0	0	8
83513	14/01/1993	1800	33.1	29.5	76	sv	0	0	6
83513	15/01/1993	0	28.2	26.5	87	sv	0	0	4
83513	15/01/1993	1200	28	26.7	90	sv	0	0	8
83513	15/01/1993	1800	29.7	26.1	74	sv	36	1	8
83513	16/01/1993	0	28.2	26.9	90	sv	32	1	2
83513	16/01/1993	1200	29.5	27.1	82	sv	0	0	2
83513	16/01/1993	1800	34.1	29.5	70	sv	0	0	4
83513	17/01/1993	0	28.3	27.1	91	sv	0	0	2
83513	17/01/1993	1200	30.1	28.1	85	sv	32	3	2
83513	17/01/1993	1800	34.1	29.5	70	sv	36	2	4
83513	18/01/1993	0	28.5	27.7	94	sv	36	1	0
83513	18/01/1993	1200	24.2	23.9	97	sv	9	1	10
83513	18/01/1993	1800	31.3	28.5	80	sv	27	1	8
83513	19/01/1993	0	24.4	23.7	94	sv	0	0	6
83513	19/01/1993	1200	24.2	23.5	94	sv	0	0	10
83513	19/01/1993	1800	24.6	23.9	94	sv	36	2	10
83513	20/01/1993	0	24.8	23.7	91	sv	36	2	0
