Estacao	Data	Hora	DirecaoVento	VelocidadeVentoMedia	VelocidadeVentoMaximaMedia	EvaporacaoPiche	EvapoBHPotencial	EvapoBHReal	InsolacaoTotal	NebulosidadeMedia	NumDiasPrecipitacao	PrecipitacaoTotal	PressaoNivelMarMedia	PressaoMedia	TempMaximaMedia	TempCompensadaMedia	TempMinimaMedia	UmidadeRelativaMedia	VisibilidadeMedia
83552	31/01/1961	0	27	1.586.957	8	sv	sv	sv	241.6	6.836.957	13	72.5	sv	993.042.391	33.967.742	27.989.032	24.074.194	72.903.226	sv
83552	28/02/1961	0	9	177.381	8	sv	sv	sv	216.2	7.238.095	9	66.1	sv	994.846.429	34.214.286	27.885.714	23.917.857	731.875	sv
83552	31/03/1961	0	14	1.849.462	8	sv	sv	sv	231.5	6.677.419	12	106.4	sv	996.121.505	32.167.742	26.563.226	22.548.387	75.620.968	sv
83552	30/04/1961	0	32	1.866.667	8	sv	sv	sv	216.1	6.622.222	13	168.8	sv	996.433.333	31.226.667	26.070.667	22.803.333	77.25	sv
83552	31/05/1961	0	9	1.731.183	8	sv	sv	sv	220	5.258.065	5	76.6	sv	999.280.645	28.880.645	23.896.129	20.196.774	7.466.129	sv
83552	30/06/1961	0	5	2.266.667	7	sv	sv	sv	192	5.666.667	6	19.9	sv	sv	24.56	20.401.333	17.056.667	77.725	sv
83552	31/07/1961	0	0	1.827.957	9	sv	sv	sv	241.5	3.548.387	1	1	sv	sv	27.196.774	21.916.774	17.735.484	65.677.419	sv
83552	31/08/1961	0	0	1.989.247	6	sv	sv	sv	283.2	1.849.462	1	2.1	sv	99.763.871	3.273.871	27.297.419	22.735.484	57.669.355	sv
83552	30/09/1961	0	0	2.477.273	10	sv	sv	sv	254.5	1.7	0	0	sv	995.688.889	33.163.333	26.702.667	21.973.333	54.791.667	sv
83552	31/10/1961	0	0	176.087	10	sv	sv	sv	223.8	4.903.226	4	108.9	sv	994.684.946	33.603.333	27.330.667	22.290.323	6.258.871	sv
83552	30/11/1961	0	9	1.855.556	10	sv	sv	sv	211.3	6.8	8	46.6	sv	993.964.444	34.106.667	28.277.333	24.156.667	72.6	sv
83552	31/12/1961	0	5	1.673.118	6	sv	sv	sv	224.5	6.784.946	13	194.9	sv	993.733.333	34.193.548	28.099.355	23.922.581	78.451.613	sv
83552	31/01/1962	0	14	1.827.957	8	sv	sv	sv	243.4	7.397.849	6	107.8	sv	993.903.226	34.176.667	28.348.667	23.596.774	69.096.774	sv
83552	28/02/1962	0	14	1.761.905	8	sv	sv	sv	256.8	527.381	7	100	sv	994.010.714	35.585.714	28.646.429	23.607.143	60.303.571	sv
83552	31/03/1962	0	9	1.462.366	5	sv	sv	sv	243.1	6.483.871	10	76.6	sv	995.252.688	34.277.419	27.824.516	23.190.323	64.209.677	sv
83552	30/04/1962	0	18	1.655.556	8	sv	sv	sv	190	6.922.222	12	86.4	sv	997.225.556	32.321.429	25.697.857	21.346.667	71.433.333	sv
83552	31/05/1962	0	9	2.228.261	12	sv	sv	sv	241.4	5.451.613	3	31.4	sv	999.796.774	28.906.452	23.034.839	18.8	65.895.161	sv
