--------------------
BDMEP - INMET
--------------------
Estação           : IVINHEMA - MS (OMM: 83704)
Latitude  (graus) : -22.3
Longitude (graus) : -53.81
Altitude  (metros): 369.20
Estação Operante
Inicio de operação: 25/07/1966
Periodo solicitado dos dados: 30/03/1700 a 12/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83704;30/09/1966;0000;23;4.5375;12;;;;183.7;3.901235;7;43;;;25.547619;18.011429;12.257143;;;
83704;31/10/1966;0000;9;4.032258;14;;;;207.4;4.698925;12;199.6;;;29.290323;23.093548;18.077419;75.064516;;
83704;30/11/1966;0000;18;4.188889;10;;;;259.2;3.822222;4;65.6;;;31.403333;24.402;18.61;68.566667;;
83704;31/12/1966;0000;32;4.053763;9;;;;254.5;4.311828;13;73.1;;;33.164516;26.142581;20.732258;70.58871;;
83704;31/01/1967;0000;5;3.771739;9;;;;174;5.526882;17;261.3;;;30.022581;24.288387;20.141935;83.862903;;
83704;28/02/1967;0000;14;3.557143;14;;;;163.1;5.761905;19;235.1;;;30.560714;24.565;20.814286;86.669643;;
83704;31/03/1967;0000;0;3;8;;;;239.3;4.322581;12;146.7;;;30.780645;24.309032;19.919355;83.330645;;
83704;30/04/1967;0000;36;3.022222;9;;;;299.9;2.377778;2;11.5;;;30.226667;22.928;17.166667;77.791667;;
83704;31/05/1967;0000;0;;9;;;;;2.615385;1;7.3;;;28.704545;20.660952;14.022727;;;
83704;30/06/1967;0000;;;;;;;;;;0;;;;;;;;
