--------------------
BDMEP - INMET
--------------------
Estação           : PARANAIBA - MS (OMM: 83565)
Latitude  (graus) : -19.75
Longitude (graus) : -51.18
Altitude  (metros): 331.25
Estação Operante
Inicio de operação: 07/07/1971
Periodo solicitado dos dados: 30/03/1700 a 12/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83565;31/07/1971;0000;0;1.169014;7;126.6;;;130.4;2.267606;1;1.6;;968.515493;28.854167;20.114167;13.1;72.0625;;
83565;31/08/1971;0000;0;1.473118;5;255;;;;1.709677;1;4.4;;967.5;31.477419;22.032258;14.212903;65.274194;;
83565;30/09/1971;0000;0;1.288889;12;207.3;;;186.1;4.688889;10;48.2;;965.491111;31.32;23.342;16.39;68.591667;;
83565;31/10/1971;0000;23;1.602151;5;175.9;;;218.7;6.010753;13;60.8;;964.497849;31.274194;23.892903;18.109677;74.040323;;
83565;30/11/1971;0000;9;1.788889;7;183.9;;;229.3;5.933333;10;86.4;;962.474444;31.143333;24.071333;17.67;70.825;;
83565;31/12/1971;0000;0;1.139785;5;93.2;;;157.3;7.924731;21;462.7;;961.855914;30.264516;24.188387;19.454839;83.935484;;
83565;31/01/1972;0000;0;1.333333;12;98.3;;;146.3;8.021505;20;295.8;;962.404301;30.445161;23.703226;19.145161;83.677419;;
83565;29/02/1972;0000;5;1.12069;7;69.2;;;137.6;8.494253;20;222;;962.612644;29.996552;23.965517;20.47931;86.405172;;
83565;31/03/1972;0000;5;0.741935;5;97.3;;;251.3;5.612903;15;144.8;;962.925806;32.077419;24.825806;20.106452;81.669355;;
83565;30/04/1972;0000;0;1.233333;5;124.8;;;243.8;3.7;4;21.6;;965.247778;29.136667;21.890667;16.423333;76.058333;;
