--------------------
BDMEP - INMET
--------------------
Estação           : PONTA PORA - MS (OMM: 83702)
Latitude  (graus) : -22.55
Longitude (graus) : -55.71
Altitude  (metros): 650.00
Estação Operante
Inicio de operação: 24/11/1941
Periodo solicitado dos dados: 30/03/1700 a 12/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83702;31/01/1961;0000;27;2.521739;5;73.8;;;;4.934783;14;131.6;;934.218478;30.36129;24.046452;19.464516;77.653226;;
83702;28/02/1961;0000;36;2.428571;7;80;;;;4.77381;15;140.3;;935.639286;30.457143;24.128571;19.457143;76.973214;;
83702;31/03/1961;0000;27;2.537634;5;72.6;;;;4.849462;13;202.7;;936.953763;28.316129;22.045161;17.696774;76.516129;;
83702;30/04/1961;0000;9;2.333333;4;66.9;;;;5.511111;11;168.4;;937.445556;26.906667;20.844;16.766667;77.916667;;
83702;31/05/1961;0000;5;2.107527;4;72.9;;;;3.043011;7;88.5;;940.067742;25.219355;18.269677;13.419355;74.677419;;
83702;30/06/1961;0000;5;2.644444;10;76;;;;3.855556;9;121.7;;940.756667;22.353333;16.376;11.76;75.958333;;
83702;31/07/1961;0000;36;2.182796;10;130.4;;;;2.946237;2;7.1;;941.109677;25.387097;18.055484;12.651613;66.830645;;
83702;31/08/1961;0000;0;2.397849;6;209.3;;;;2.11828;4;45.8;;939.096774;;;15.509677;55.91129;;
83702;30/09/1961;0000;36;2.866667;6;140.7;;;;3.788889;5;79.3;;936.91;;;16.293333;70.716667;;
83702;31/10/1961;0000;18;2.688172;8;140;;;;3.795699;6;138.6;;936.445161;;;17.580645;69.887097;;
83702;30/11/1961;0000;32;2.5;4;109;;;;4.333333;13;235;;935.433333;;;18.506667;74.85;;
83702;31/12/1961;0000;36;2.537634;5;111.1;;;;3.795699;11;152.5;;935.15914;;;19.045161;74.129032;;
83702;31/01/1962;0000;36;2.473118;8;104.8;;;;4.215054;9;121.2;;935.534409;;;19.077419;74.5;;
83702;28/02/1962;0000;0;2.428571;4;118.8;;;;3.059524;8;92.9;;935.407143;30.55;23.678571;18.45;70.5625;;
83702;31/03/1962;0000;36;2.010753;3;103.9;;;;3.451613;9;97.8;;936.603226;30.122581;23.424516;18.76129;72.540323;;
83702;30/04/1962;0000;32;2.133333;4;76.4;;;;4.677778;9;132.4;;938.302222;27.44;20.648;16.16;77.658333;;
83702;31/05/1962;0000;5;2;5;68.7;;;;3.860215;7;123.3;;940.582796;23.393548;16.811613;12.574194;77.137097;;
83702;30/06/1962;0000;36;2.433333;10;89.7;;;;2.688889;7;120.4;;941.077778;22.026667;14.766667;9.66;73.933333;;
83702;31/07/1962;0000;36;2.397849;6;84.7;;;;4.677419;6;15.5;;943.04086;19.167742;12.086452;7.490323;75.491935;;
83702;31/08/1962;0000;18;2.376344;8;150.1;;;;3.258065;6;56.4;;939.743011;25.806452;17.270968;11.4;64.096774;;
83702;30/09/1962;0000;9;2.422222;6;84.6;;;;5.1;14;288.7;;938.208889;25.693333;19.693333;15.406667;77.575;;
83702;31/10/1962;0000;32;2.376344;5;102;;;;4.419355;9;202;;937.626882;25.070968;18.766452;14.296774;73.637097;;
83702;30/11/1962;0000;18;2.4;7;139.1;;;;3.311111;7;152.4;;935.646667;29.633333;22.928;17.613333;65.991667;;
83702;31/12/1962;0000;18;2.354839;4;108.1;;;;4.526882;13;158;;933.990323;30.903226;24.384516;19.793548;73.685484;;
83702;31/01/1963;0000;27;2.172043;4;74.7;;;;5.344086;15;210.1;;934.233333;30.167742;24.550968;20.716129;77.862903;;
83702;28/02/1963;0000;36;2.297619;4;61;;;;5.666667;15;114.4;;935.775;29.442857;23.545714;19.592857;79.741071;;
83702;31/03/1963;0000;0;2.010753;6;71.5;;;;5.247312;17;239.3;;937.24086;29.916129;23.655484;19.529032;79.725806;;
83702;30/04/1963;0000;5;2.011111;4;84.7;;;;2.733333;4;87.1;;938.222222;28.313333;21.241333;16.073333;73.191667;;
83702;31/05/1963;0000;0;2.11828;5;93.4;;;;2.924731;6;117.6;;940.91828;25.703226;18.581935;13.845161;73.056452;;
83702;30/06/1963;0000;18;2.455556;5;90.6;;;;2.988889;4;127.7;;941.148889;22.933333;16.033333;11.413333;70.9;;
83702;31/07/1963;0000;32;2.247312;6;147.9;;;;1.634409;3;18.4;;940.194624;26.03871;17.896774;12.412903;63.677419;;
83702;31/08/1963;0000;32;2.27957;10;221.6;;;;3.236559;3;6.6;;938.084946;28.2;20.434839;15.064516;56.75;;
83702;30/09/1963;0000;32;2.4;10;195;;;;3.066667;5;33.2;;936.576667;28.466667;21.538667;16.76;63.344828;;
83702;31/10/1963;0000;23;2.172043;4;141.2;;;;4.505376;11;60.4;;936.664516;30.367742;23.803226;19.119355;69.129032;;
83702;30/11/1963;0000;36;2.288889;5;131.1;;;;5.311111;14;292;;935.012222;29.173333;23.133333;18.52;72.075;;
83702;31/12/1963;0000;32;2.397849;4;128.9;;;;4.516129;9;152.4;;936.292473;30.203226;23.759355;19.477419;73.645161;;
83702;31/01/1964;0000;23;1.741935;3;137;;;;3.924731;10;110.2;;935.135484;31.43871;24.868387;20.109677;70.193548;;
